,FYQ,FY,Q,あつまれ どうぶつの森,マリオカート8 デラックス,スーパーマリオ 3Dコレクション,リングフィット アドベンチャー,ゼルダの伝説 ブレス オブ ザ ワイルド,大乱闘スマッシュブラザーズ SPECIAL,スーパーマリオパーティ,New スーパーマリオブラザーズU デラックス,ペーパーマリオ オリガミキング,ポケットモンスター ソード・シールド,ゼルダ無双 厄災の黙示録,スーパーマリオ オデッセイ,ルイージマンション3,世界のアソビ大全51,ピクミン3 デラックス,Splatoon2,Xenoblade Definitive Edition,スーパーマリオメーカー2,マリオカート ライブ ホームサーキット,ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,ポケットモンスター スカーレット・バイオレット,Splatoon3,Nintendo Switch Sports,星のカービィ ディスカバリー,マリオパーティ スーパースターズ,マリオストライカーズ バトルリーグ,Pokmon LEGENDS アルセウス,スーパーマリオ 3Dワールド + フューリーワールド,ゼノブレイド3,ファイアーエムブレム エンゲージ,星のカービィ Wii デラックス,メトロイドプライム リマスタード,ベヨネッタ3,ポケットモンスター ブリリアントダイヤモンド・シャイニングパール,ゼルダの伝説 スカイウォードソード HD,メトロイド ドレッド,New ポケモンスナップ,マリオゴルフ スーパーラッシュ,ミートピア,やわらかあたま塾 いっしょにあたまのストレッチ,おすそわける メイド イン ワリオ,ナビつき！ つくってわかる はじめてゲームプログラミング,ARMS,1-2-Switch,ゼノブレイド2,星のカービィ スターアライズ,ポッ拳 ポッケン トーナメント DX,ゼルダの伝説 ティアーズ オブ ザ キングダム,Pikmin 4,ゼルダの伝説 夢をみる島,ファイアーエムブレム 風花雪月,ASTRAL CHAIN,MARVEL ULTIMATE ALLIANCE 3: The Black Order,ゼルダの伝説 知恵のかりもの,ペーパーマリオRPG,ルイージマンション2 HD,スーパー マリオパーティ ジャンボリー,Super Mario Bros. Wonder,マリオ&ルイージRPG ブラザーシップ!,マリオテニス エース,ドンキーコング トロピカルフリーズ,スーパーマリオRPG,プリンセスピーチ Showtime!,マリオvs.ドンキーコング,ドンキーコング リターンズ HD,進め! キノピオ隊長,OCTOPATH TRAVELER,ヨッシークラフトワールド,Nintendo Labo Toy-Con 01: Variety Kit,ルイージマンション３,おすそわける　メイド イン ワリオ,ポケモン不思議のダンジョン 救助隊DX,あつまれ どうぶつの森_quarter,マリオカート8 デラックス_quarter,スーパーマリオ 3Dコレクション_quarter,リングフィット アドベンチャー_quarter,ゼルダの伝説 ブレス オブ ザ ワイルド_quarter,大乱闘スマッシュブラザーズ SPECIAL_quarter,スーパーマリオパーティ_quarter,New スーパーマリオブラザーズU デラックス_quarter,ペーパーマリオ オリガミキング_quarter,ポケットモンスター ソード・シールド_quarter,ゼルダ無双 厄災の黙示録_quarter,スーパーマリオ オデッセイ_quarter,ルイージマンション3_quarter,世界のアソビ大全51_quarter,ピクミン3 デラックス_quarter,Splatoon2_quarter,Xenoblade Definitive Edition_quarter,スーパーマリオメーカー2_quarter,マリオカート ライブ ホームサーキット_quarter,ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ_quarter,ポケットモンスター スカーレット・バイオレット_quarter,Splatoon3_quarter,Nintendo Switch Sports_quarter,星のカービィ ディスカバリー_quarter,マリオパーティ スーパースターズ_quarter,マリオストライカーズ バトルリーグ_quarter,Pokmon LEGENDS アルセウス_quarter,スーパーマリオ 3Dワールド + フューリーワールド_quarter,ゼノブレイド3_quarter,ファイアーエムブレム エンゲージ_quarter,星のカービィ Wii デラックス_quarter,メトロイドプライム リマスタード_quarter,ベヨネッタ3_quarter,ポケットモンスター ブリリアントダイヤモンド・シャイニングパール_quarter,ゼルダの伝説 スカイウォードソード HD_quarter,メトロイド ドレッド_quarter,New ポケモンスナップ_quarter,マリオゴルフ スーパーラッシュ_quarter,ミートピア_quarter,やわらかあたま塾 いっしょにあたまのストレッチ_quarter,おすそわける メイド イン ワリオ_quarter,ナビつき！ つくってわかる はじめてゲームプログラミング_quarter,ARMS_quarter,1-2-Switch_quarter,ゼノブレイド2_quarter,星のカービィ スターアライズ_quarter,ポッ拳 ポッケン トーナメント DX_quarter,ゼルダの伝説 ティアーズ オブ ザ キングダム_quarter,Pikmin 4_quarter,ゼルダの伝説 夢をみる島_quarter,ファイアーエムブレム 風花雪月_quarter,ASTRAL CHAIN_quarter,MARVEL ULTIMATE ALLIANCE 3: The Black Order_quarter,ゼルダの伝説 知恵のかりもの_quarter,ペーパーマリオRPG_quarter,ルイージマンション2 HD_quarter,スーパー マリオパーティ ジャンボリー_quarter,Super Mario Bros. Wonder_quarter,マリオ&ルイージRPG ブラザーシップ!_quarter,マリオテニス エース_quarter,ドンキーコング トロピカルフリーズ_quarter,スーパーマリオRPG_quarter,プリンセスピーチ Showtime!_quarter,マリオvs.ドンキーコング_quarter,ドンキーコング リターンズ HD_quarter,進め! キノピオ隊長_quarter,OCTOPATH TRAVELER_quarter,ヨッシークラフトワールド_quarter,Nintendo Labo Toy-Con 01: Variety Kit_quarter,ルイージマンション３_quarter,おすそわける　メイド イン ワリオ_quarter,ポケモン不思議のダンジョン 救助隊DX_quarter,Switch_jp_sales,Switch_us_sales,Switch_eur_sales,Switch_others_sales,hard_total_sales
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2017-03-31,2017Q4,2017.0,4.0,,,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,120.0,0.0,94.0,274.0
2017-06-30,2018Q1,2018.0,1.0,,354.0,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,75.0,0.0,69.0,196.0
2017-09-30,2018Q2,2018.0,2.0,,442.0,,,193.0,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,77.0,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,117.0,0.0,93.0,293.0
2017-12-31,2018Q3,2018.0,3.0,,733.0,,,394.0,,,,,,,907.0,,,,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0,,,201.0,,,,,,,907.0,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,282.0,0.0,264.0,723.0
2018-03-31,2018Q4,2018.0,4.0,,922.0,,,572.0,,,,,,,1041.0,,,,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,134.0,131.0,126.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,178.0,,,,,,,134.0,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,134.0,25.0,126.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,120.0,0.0,107.0,293.0
2018-06-30,2019Q1,2019.0,1.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,140.0,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,140.0,,,,,,,,,,,,50.0,67.0,0.0,70.0,187.0
2018-09-30,2019Q2,2019.0,2.0,,249.0,,,181.0,,,,,,,176.0,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,167.0,,,,,,,,,,,,,136.0,,,181.0,,,,,,,176.0,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,27.0,,,,,,,,,,,,64.0,133.0,0.0,123.0,320.0
2018-12-31,2019Q3,2019.0,3.0,,580.0,,,321.0,1208.0,530.0,,,,,335.0,,,,225.0,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,253.0,208.0,,,,,105.0,108.0,,106.0,,,,,331.0,,,140.0,1208.0,530.0,,,,,159.0,,,,80.0,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,37.0,41.0,,,,,105.0,108.0,,106.0,,,,222.0,380.0,0.0,340.0,942.0
2019-03-31,2019Q4,2019.0,4.0,,747.0,,,430.0,1381.0,640.0,331.0,,,,404.0,,,,269.0,,,,1063.0,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,264.0,225.0,,,,,118.0,117.0,111.0,109.0,,,,,167.0,,,109.0,173.0,110.0,331.0,,,,69.0,,,,44.0,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,11.0,17.0,,,,,13.0,9.0,111.0,3.0,,,,49.0,108.0,0.0,90.0,247.0
